Id,Birth date,Confession,Health status,Martial status,Child age,Child gender,Invalid child,Reports,Photo rights,Статус,Created at,Russian citizenship,Education
616,26 июня 1990,протестантизм,отлично,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 17, 2017 03:29",TRUE,"Университет, Институт, техникум"
617,30 апреля 2001,Православие,отлично,Не женат (не замужем),13,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 17, 2017 04:10",TRUE,Общеобразовательная школа
618,30 апреля 2001,Православие,отлично,Не женат (не замужем),14,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 17, 2017 06:30",TRUE,Общеобразовательная школа
619,13 июля 1996,Атеист ,отлично,Гражданский брак,14,Женский,FALSE,TRUE,TRUE,new,"июля 17, 2017 07:05",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум,Общеобразовательная школа"
620,16 декабря 1986,Буддизм,хорошо,Женат (замужем),12,Женский,TRUE,TRUE,TRUE,new,"июля 17, 2017 08:46",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
621,21 января 2017,Православие,отлично,Не женат (не замужем),12,Женский,FALSE,TRUE,TRUE,approved,"июля 17, 2017 09:47",TRUE,"Университет, Институт, техникум"
622,8 июля 1993,Православие,хорошо,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 18, 2017 04:10",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
623,7 сентября 1995,Атеист,хорошо,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 18, 2017 05:00",TRUE,"Общеобразовательная школа,Университет, Институт, техникум"
624,2 декабря 1972,Католицизм,хорошо,Гражданский брак,12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 18, 2017 05:37",TRUE,"Университет, Институт, техникум"
625,10 сентября 1992,Агностик,хорошо,Гражданский брак,12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 18, 2017 12:17",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
626,16 июля 1983,Атеизм,хорошо,Женат (замужем),17,Мужской,FALSE,TRUE,TRUE,new,"июля 19, 2017 04:10",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
